member_id,name,gender,email,phone,fav_drink,birthdate,member_since,level,recent_visit,recency,frequency,monetary
31,Kai,M,Kai.qi@tulipmail.com,0828904649,Yuzu Tea,1993-02-02,2022-01-15,diamond,2024-12-01 12:57:00,29.0,212.0,33315.0
32,Ozzie,M,Ozzie.jl@lilymail.com,0839547277,Green Tea,1988-12-02,2022-01-15,platinum,2024-12-23 15:59:00,7.0,152.0,26940.0
33,Ping,F,Ping.bo@lilymail.com,0863834378,Bubble Tea,2004-09-26,2022-01-16,platinum,2024-12-11 08:08:00,19.0,175.0,29435.0
34,Ai,F,Ai.ar@lilymail.com,0890146932,Bubble Tea,1992-11-15,2022-01-16,platinum,2024-11-18 13:53:00,42.0,187.0,28630.0
35,Tybalt,M,Tybalt.ko@sunflowermail.com,0603790868,Bubble Tea,1988-05-27,2022-01-16,platinum,2024-12-14 12:35:00,16.0,181.0,28675.0
36,Fluke,M,Fluke.lx@lotusmail.com,0955712821,Bubble Tea,2007-11-08,2022-01-17,platinum,2024-11-26 15:05:00,34.0,166.0,29000.0
37,Dao,F,Dao.ak@lilymail.com,0826910377,Bubble Tea,1994-09-12,2022-01-17,platinum,2024-12-05 14:44:00,25.0,189.0,30955.0
38,Tik,F,Tik.ns@irismail.com,0881088341,Thai Tea,2003-12-07,2022-01-18,platinum,2024-12-10 13:43:00,20.0,155.0,27050.0
39,Snake,M,Snake.ux@tulipmail.com,0923211255,Bubble Tea,1989-12-15,2022-01-19,platinum,2024-10-02 18:20:00,89.0,164.0,27460.0
40,Tucker,M,Tucker.ix@lilymail.com,0897486873,Yuzu Tea,2002-07-14,2022-01-19,platinum,2024-01-06 17:11:00,359.0,109.0,18240.0
41,Tip,F,Tip.hy@carnationmail.com,0636415878,Bubble Tea,1992-07-11,2022-01-19,platinum,2024-12-04 14:44:00,26.0,177.0,29220.0
42,Song,F,Song.be@rosemail.com,0984577730,Yuzu Tea,1994-02-23,2022-01-20,platinum,2024-11-12 16:30:00,48.0,183.0,29655.0
43,Joom,F,Joom.ps@daffodilmail.com,0851930007,Bubble Tea,1969-07-03,2022-01-21,platinum,2024-10-09 16:42:00,82.0,174.0,29910.0
44,Puck,M,Puck.bt@daffodilmail.com,0932806284,Bubble Tea,1974-05-09,2022-01-21,platinum,2024-12-09 19:48:00,21.0,191.0,29020.0
45,Arm,M,Arm.gd@lilymail.com,0640588103,Bubble Tea,1972-04-21,2022-01-22,platinum,2024-02-02 12:01:00,332.0,121.0,20025.0
46,Mai,F,Mai.vw@lilymail.com,0616755842,Bubble Tea,2004-07-16,2022-01-22,platinum,2024-04-05 10:07:00,269.0,152.0,22875.0
47,Avery,M,Avery.bm@tulipmail.com,0620493099,Bubble Tea,1992-08-14,2022-01-22,platinum,2024-12-17 09:31:00,13.0,158.0,25630.0
48,Tee,M,Tee.ef@daisymail.com,0913914491,Bubble Tea,1969-10-12,2022-01-22,platinum,2024-11-25 19:23:00,35.0,179.0,29695.0
49,Bud,M,Bud.pv@daffodilmail.com,0859864702,Bubble Tea,1973-11-21,2022-01-22,platinum,2024-12-09 17:38:00,21.0,171.0,25250.0
50,Boom,F,Boom.no@sunflowermail.com,0873163350,Bubble Tea,2006-12-04,2022-01-22,platinum,2024-11-27 16:26:00,33.0,197.0,31370.0
51,Admiral,M,Admiral.ck@dahlia.com,0885728069,Iced Latte,1986-05-06,2022-01-22,platinum,2024-12-18 15:38:00,12.0,188.0,32240.0
52,Iggly,M,Iggly.at@daisymail.com,0992714497,Bubble Tea,2007-12-15,2022-01-23,platinum,2024-04-03 18:04:00,271.0,140.0,19955.0
53,Kao,M,Kao.ri@dahlia.com,0973572196,Bubble Tea,2002-03-11,2022-01-23,platinum,2024-12-14 07:37:00,16.0,185.0,28695.0
54,Violet,F,Violet.cw@daisymail.com,0666713181,Bubble Tea,1994-01-21,2022-01-23,platinum,2024-02-02 08:31:00,332.0,114.0,19125.0
55,Ribbot,M,Ribbot.eq@carnationmail.com,0921476656,Bubble Tea,1994-11-10,2022-01-24,platinum,2024-11-12 08:36:00,48.0,168.0,25175.0
56,Rodeo,M,Rodeo.er@dahlia.com,0635435151,Bubble Tea,2004-10-19,2022-01-24,platinum,2024-12-01 14:56:00,29.0,196.0,31195.0
57,Kitty,F,Kitty.sb@tulipmail.com,0689229262,Yuzu Tea,1996-04-16,2022-01-24,platinum,2024-11-30 15:55:00,30.0,179.0,30755.0
58,Tangy,F,Tangy.gg@daffodilmail.com,0925152139,Bubble Tea,1994-07-13,2022-01-25,platinum,2024-05-10 18:13:00,234.0,159.0,29640.0
59,Dao,F,Dao.ak@lilymail.com,0894049985,Yuzu Tea,1989-08-25,2022-01-25,platinum,2024-12-02 16:50:00,28.0,193.0,31095.0
60,NamTan,F,NamTan.wc@lotusmail.com,0948458990,Bubble Tea,2001-02-28,2022-01-26,platinum,2024-05-04 13:23:00,240.0,182.0,31595.0
61,Clay,M,Clay.ty@daffodilmail.com,0908060959,Thai Tea,1990-04-09,2022-01-27,platinum,2024-07-30 15:06:00,153.0,160.0,24000.0
62,Nae,F,Nae.jo@irismail.com,0981572457,Yuzu Tea,1994-12-23,2022-01-28,platinum,2024-12-09 11:13:00,21.0,192.0,29390.0
63,Aon,M,Aon.lp@sunflowermail.com,0697858770,Bubble Tea,1990-08-27,2022-01-28,platinum,2024-12-17 08:49:00,13.0,176.0,27790.0
64,Poppy,F,Poppy.nw@tulipmail.com,0997158270,Bubble Tea,1994-02-12,2022-01-28,platinum,2024-11-24 10:01:00,36.0,171.0,27030.0
65,Goldie,F,Goldie.cs@tulipmail.com,0925048655,Bubble Tea,1989-09-19,2022-01-28,platinum,2024-11-29 15:40:00,31.0,184.0,33110.0
66,Chrissy,F,Chrissy.hr@lilymail.com,0630519748,Bubble Tea,1989-07-04,2022-01-29,platinum,2024-12-09 20:25:00,21.0,169.0,26815.0
67,Pam,F,Pam.dp@dahlia.com,0632264349,Bubble Tea,1993-05-13,2022-01-29,platinum,2024-12-20 17:20:00,10.0,152.0,27195.0
68,Boyd,M,Boyd.xu@sunflowermail.com,0898432977,Bubble Tea,1974-10-14,2022-01-30,platinum,2024-11-27 15:59:00,33.0,169.0,28035.0
69,Zen,F,Zen.um@lotusmail.com,0801236043,Yuzu Tea,1986-10-14,2022-01-30,platinum,2024-11-30 09:47:00,30.0,182.0,28480.0
70,Zim,F,Zim.uy@dahlia.com,0667732356,Yuzu Tea,2004-05-06,2022-01-30,platinum,2024-01-05 07:44:00,360.0,113.0,17645.0
71,Rowan,M,Rowan.bk@lilymail.com,0949258764,Bubble Tea,2004-08-08,2022-01-30,platinum,2024-12-07 18:08:00,23.0,197.0,28770.0
72,T-Bone,M,T-Bone.ku@sunflowermail.com,0918899820,Bubble Tea,1993-11-09,2022-01-31,platinum,2024-12-09 13:50:00,21.0,172.0,27680.0
73,Lolly,F,Lolly.iy@tulipmail.com,0629418120,Jasmine Tea,1977-10-14,2022-02-01,platinum,2024-12-17 15:07:00,13.0,112.0,19270.0
74,Chompoo,F,Chompoo.tl@daisymail.com,0606610400,Yuzu Tea,1993-07-07,2022-02-01,platinum,2024-12-14 08:08:00,16.0,114.0,17485.0
75,Gypso,F,Gypso.kd@rosemail.com,0917256193,Thai Tea,2003-12-11,2022-02-01,platinum,2024-12-24 12:23:00,6.0,112.0,17515.0
76,Wendy,F,Wendy.xn@lilymail.com,0924312245,Green Tea,1970-10-08,2022-02-01,gold,2023-12-13 15:57:00,383.0,65.0,9675.0
77,Drago,M,Drago.gw@lilymail.com,0666991444,Thai Tea,1998-05-14,2022-02-01,platinum,2024-12-18 14:15:00,12.0,126.0,22350.0
78,Kim,M,Kim.co@dahlia.com,0697740706,Bubble Tea,2008-04-03,2022-02-02,gold,2024-09-02 09:26:00,119.0,94.0,14955.0
79,Zee,M,Zee.er@daffodilmail.com,0674231192,Bubble Tea,2003-02-11,2022-02-02,platinum,2024-11-01 09:40:00,59.0,122.0,18015.0
80,Koi,F,Koi.xv@lilymail.com,0867070308,Iced Latte,1990-04-07,2022-02-02,platinum,2024-04-30 10:16:00,244.0,100.0,18160.0
81,Rin,F,Rin.cd@rosemail.com,0850481101,Bubble Tea,2007-11-01,2022-02-02,platinum,2024-12-14 19:49:00,16.0,126.0,22595.0
82,Joe,M,Joe.er@daffodilmail.com,0925436533,Thai Tea,1975-01-20,2022-02-02,platinum,2024-09-10 12:47:00,111.0,109.0,18685.0
83,Tee,F,Tee.ve@daisymail.com,0674735755,Yuzu Tea,1972-02-12,2022-02-02,platinum,2024-12-26 15:06:00,4.0,116.0,18025.0
84,Lalisa,F,Lalisa.xl@rosemail.com,0845475844,Yuzu Tea,1971-08-12,2022-02-03,platinum,2024-12-18 19:52:00,12.0,122.0,18750.0
85,Pee,M,Pee.ap@lilymail.com,0957542014,Bubble Tea,1987-12-15,2022-02-03,platinum,2024-12-02 11:33:00,28.0,125.0,21170.0
86,Flurry,F,Flurry.kv@irismail.com,0894532543,Bubble Tea,1975-07-19,2022-02-03,platinum,2024-10-30 07:38:00,61.0,109.0,21150.0
87,Jitters,M,Jitters.rb@lilymail.com,0877364639,Thai Tea,1974-03-18,2022-02-05,platinum,2024-12-17 12:05:00,13.0,128.0,19625.0
88,Kidd,M,Kidd.xg@rosemail.com,0628748190,Yuzu Tea,1975-02-10,2022-02-05,platinum,2024-12-19 09:58:00,11.0,107.0,14615.0
89,Ple,F,Ple.ae@tulipmail.com,0914506335,Green Tea,2008-05-12,2022-02-06,platinum,2024-11-11 12:19:00,49.0,112.0,21135.0
90,Ankha,F,Ankha.zt@rosemail.com,0834248179,Green Tea,1989-04-25,2022-02-06,platinum,2024-11-30 13:34:00,30.0,102.0,21955.0
91,Peach,F,Peach.ux@daisymail.com,0829327020,Thai Tea,2005-04-28,2022-02-06,platinum,2024-11-20 15:41:00,40.0,109.0,18960.0
92,Lalisa,F,Lalisa.xl@rosemail.com,0946570221,Iced Latte,2007-08-09,2022-02-06,platinum,2024-07-03 15:35:00,180.0,103.0,16630.0
93,Nene,F,Nene.bn@carnationmail.com,0958073506,Bubble Tea,1998-06-17,2022-02-07,platinum,2024-11-25 12:50:00,35.0,114.0,18495.0
94,Nana,F,Nana.jt@lilymail.com,0829955973,Thai Tea,1973-07-14,2022-02-07,platinum,2024-12-17 17:18:00,13.0,112.0,18510.0
95,Katty,F,Katty.cw@irismail.com,0888698136,Bubble Tea,1994-01-21,2022-02-08,platinum,2024-12-28 17:19:00,2.0,115.0,16750.0
96,Bas,M,Bas.po@lilymail.com,0872657619,Bubble Tea,1970-02-06,2022-02-08,platinum,2024-12-11 19:36:00,19.0,101.0,16040.0
97,Momo,F,Momo.rh@rosemail.com,0870379837,Yuzu Tea,1989-08-10,2022-02-08,platinum,2024-12-12 09:21:00,18.0,113.0,20025.0
98,Pietro,M,Pietro.zf@daisymail.com,0915714281,Yuzu Tea,2002-01-21,2022-02-08,platinum,2024-12-20 17:03:00,10.0,125.0,18205.0
99,Gypso,F,Gypso.kd@rosemail.com,0803740658,Yuzu Tea,1972-11-04,2022-02-09,platinum,2024-10-25 19:04:00,66.0,111.0,18355.0
100,Eloise,F,Eloise.xq@sunflowermail.com,0919512256,Bubble Tea,1973-03-07,2022-02-09,gold,2024-04-30 10:35:00,244.0,86.0,16055.0
101,Benz,F,Benz.fl@dahlia.com,0683413308,Bubble Tea,1991-12-19,2022-02-09,platinum,2024-12-17 08:33:00,13.0,113.0,17795.0
102,Sparro,M,Sparro.xj@daffodilmail.com,0898248611,Thai Tea,2005-09-26,2022-02-10,platinum,2024-11-23 07:55:00,37.0,118.0,20345.0
103,Bob,M,Bob.ne@daffodilmail.com,0968642625,Yuzu Tea,2008-08-25,2022-02-10,platinum,2024-07-01 19:48:00,182.0,112.0,17095.0
104,Octavian,M,Octavian.bs@sunflowermail.com,0844465468,Yuzu Tea,2006-02-28,2022-02-10,platinum,2024-11-28 13:56:00,32.0,110.0,16935.0
105,Drake,M,Drake.ls@sunflowermail.com,0810574864,Iced Latte,2005-08-22,2022-02-11,platinum,2024-12-14 12:25:00,16.0,103.0,14910.0
106,Annalisa,F,Annalisa.zs@lotusmail.com,0996717871,Green Tea,2003-07-08,2022-02-11,platinum,2024-11-29 15:37:00,31.0,118.0,19945.0
107,Alfonso,M,Alfonso.fj@dahlia.com,0911680346,Bubble Tea,1993-04-11,2022-02-11,platinum,2024-12-18 09:15:00,12.0,122.0,16165.0
108,Drift,M,Drift.rw@dahlia.com,0856286875,Bubble Tea,1992-10-08,2022-02-11,platinum,2024-12-31 10:33:00,-1.0,119.0,17725.0
109,Mie,F,Mie.la@rosemail.com,0648491544,Yuzu Tea,1988-10-06,2022-02-11,platinum,2024-12-16 18:56:00,14.0,106.0,20295.0
110,Joe,M,Joe.er@daffodilmail.com,0942341880,Thai Tea,1991-05-23,2022-02-11,gold,2024-05-05 20:52:00,239.0,85.0,13145.0
111,Shari,F,Shari.df@lotusmail.com,0676726268,Bubble Tea,2006-03-02,2022-02-12,platinum,2024-11-18 11:59:00,42.0,122.0,19545.0
112,Sparro,M,Sparro.xj@daffodilmail.com,0874740042,Bubble Tea,1981-08-13,2022-02-12,platinum,2024-10-22 15:39:00,69.0,128.0,17045.0
113,Pietro,M,Pietro.zf@daisymail.com,0877369783,Bubble Tea,1990-08-25,2022-02-12,platinum,2024-12-10 16:14:00,20.0,120.0,20380.0
114,Yui,F,Yui.xn@lilymail.com,0894031653,Green Tea,1994-05-06,2022-02-12,platinum,2024-11-12 09:23:00,48.0,106.0,16845.0
115,Fandy,F,Fandy.kp@lilymail.com,0853917146,Bubble Tea,2005-01-26,2022-02-13,platinum,2024-11-25 15:51:00,35.0,110.0,15705.0
116,Bua,F,Bua.gw@tulipmail.com,0844332648,Bubble Tea,1994-07-11,2022-02-13,platinum,2024-11-21 09:12:00,39.0,119.0,17660.0
117,Bibi,F,Bibi.fu@dahlia.com,0957266582,Bubble Tea,2008-08-15,2022-02-14,platinum,2024-09-20 14:25:00,101.0,116.0,18490.0
118,Bangle,F,Bangle.zr@dahlia.com,0634931403,Bubble Tea,1975-11-11,2022-02-14,platinum,2024-11-11 15:49:00,49.0,109.0,16420.0
119,Grizzly,M,Grizzly.ly@sunflowermail.com,0927915732,Yuzu Tea,1996-07-27,2022-02-14,platinum,2024-12-04 10:04:00,26.0,129.0,24200.0
120,Joey,M,Joey.eb@lotusmail.com,0870421181,Bubble Tea,1975-07-04,2022-02-15,platinum,2024-12-22 16:48:00,8.0,118.0,19435.0
121,Bruce,M,Bruce.jn@daffodilmail.com,0862150485,Thai Tea,2003-05-03,2022-02-15,gold,2024-10-02 07:57:00,89.0,96.0,14695.0
122,Octavian,M,Octavian.bs@sunflowermail.com,0631360614,Bubble Tea,1993-09-01,2022-02-16,platinum,2024-11-19 17:26:00,41.0,114.0,17565.0
123,Jaa,F,Jaa.el@daffodilmail.com,0873637859,Bubble Tea,2002-01-13,2022-02-17,platinum,2024-12-24 15:00:00,6.0,121.0,20595.0
124,Gabi,F,Gabi.xw@carnationmail.com,0913385539,Yuzu Tea,2000-07-15,2022-02-18,platinum,2024-10-01 09:01:00,90.0,104.0,16870.0
125,Gib,F,Gib.fr@dahlia.com,0982629215,Thai Tea,2002-03-19,2022-02-18,gold,2024-04-05 13:44:00,269.0,85.0,13595.0
126,Lalida,F,Lalida.hs@lilymail.com,0970980561,Bubble Tea,1975-12-05,2022-02-18,platinum,2024-11-13 19:38:00,47.0,115.0,17355.0
127,Cashmere,F,Cashmere.kl@rosemail.com,0902114892,Yuzu Tea,2002-07-14,2022-02-19,platinum,2024-11-09 07:31:00,51.0,107.0,17305.0
128,Soleil,F,Soleil.cp@tulipmail.com,0976864259,Yuzu Tea,1976-02-07,2022-02-20,gold,2023-12-27 18:30:00,369.0,70.0,13515.0
129,Lek,F,Lek.bm@lilymail.com,0863824118,Bubble Tea,1994-10-27,2022-02-21,platinum,2024-12-25 10:15:00,5.0,119.0,17615.0
130,Jin,F,Jin.no@irismail.com,0927883099,Bubble Tea,2004-10-08,2022-02-21,platinum,2024-10-30 14:18:00,61.0,118.0,18720.0
131,Klaus,M,Klaus.wd@rosemail.com,0833523827,Thai Tea,1996-12-07,2022-02-21,platinum,2024-12-09 13:36:00,21.0,128.0,20350.0
132,KidCat,M,KidCat.xb@tulipmail.com,0820204062,Yuzu Tea,1986-07-05,2022-02-21,gold,2024-06-04 16:09:00,209.0,98.0,15200.0
133,Cheri,F,Cheri.ef@lotusmail.com,0860666149,Yuzu Tea,1997-02-15,2022-02-22,platinum,2024-11-30 14:21:00,30.0,110.0,16930.0
134,Rhonda,F,Rhonda.yn@irismail.com,0919230091,Thai Tea,1985-06-18,2022-02-22,platinum,2024-12-02 12:23:00,28.0,106.0,18060.0
135,Benjamin,M,Benjamin.ut@lotusmail.com,0654973027,Bubble Tea,1989-09-06,2022-02-22,platinum,2024-09-26 09:56:00,95.0,103.0,17170.0
136,Sydney,F,Sydney.ia@lotusmail.com,0991045483,Thai Tea,1973-03-06,2022-02-22,platinum,2024-11-28 10:25:00,32.0,121.0,17175.0
137,Apollo,M,Apollo.st@tulipmail.com,0815755907,Bubble Tea,1988-02-26,2022-02-23,platinum,2024-04-23 21:09:00,251.0,107.0,17540.0
138,Gabi,F,Gabi.xw@carnationmail.com,0849133602,Mocha,1970-01-05,2022-02-24,platinum,2024-11-25 19:23:00,35.0,115.0,17510.0
139,Cranston,M,Cranston.uw@carnationmail.com,0849016391,Yuzu Tea,1997-06-16,2022-02-24,gold,2023-12-25 12:36:00,371.0,68.0,10780.0
140,Jitters,M,Jitters.rb@lilymail.com,0982524272,Bubble Tea,2008-02-13,2022-02-24,platinum,2024-12-23 10:12:00,7.0,126.0,18640.0
141,Tay,M,Tay.ws@daffodilmail.com,0842303109,Bubble Tea,1994-06-21,2022-02-25,platinum,2024-11-27 07:57:00,33.0,121.0,21140.0
142,Mook,F,Mook.lr@daffodilmail.com,0888057636,Yuzu Tea,2003-07-02,2022-02-26,platinum,2024-11-19 11:48:00,41.0,104.0,18755.0
143,Deena,F,Deena.se@irismail.com,0992221872,Thai Tea,2008-02-18,2022-02-26,platinum,2024-11-30 18:09:00,30.0,109.0,18875.0
144,Sai,F,Sai.pa@carnationmail.com,0903978120,Thai Tea,1992-01-10,2022-02-26,gold,2024-11-29 16:09:00,31.0,97.0,14730.0
145,Sterling,M,Sterling.kv@lilymail.com,0887975710,Bubble Tea,1991-06-15,2022-02-28,platinum,2024-12-13 17:15:00,17.0,111.0,15905.0
146,Gwen,F,Gwen.fq@lotusmail.com,0690652511,Bubble Tea,2006-05-28,2022-03-01,gold,2024-12-04 13:20:00,26.0,98.0,15995.0
147,Audie,F,Audie.wp@lotusmail.com,0629615907,Bubble Tea,1990-04-04,2022-03-01,platinum,2024-12-25 13:38:00,5.0,107.0,18370.0
148,Cherry,F,Cherry.mz@rosemail.com,0838695463,Bubble Tea,2007-09-21,2022-03-02,gold,2024-04-05 09:17:00,269.0,56.0,8230.0
149,Merengue,F,Merengue.gu@irismail.com,0979347224,Bubble Tea,1970-10-18,2022-03-02,gold,2024-04-03 15:08:00,271.0,65.0,11770.0
150,Fang,M,Fang.ev@tulipmail.com,0657059999,Bubble Tea,1972-12-05,2022-03-02,gold,2024-12-03 16:17:00,27.0,86.0,14310.0
151,Lalita,F,Lalita.ty@rosemail.com,0680707539,Bubble Tea,1994-03-02,2022-03-02,gold,2024-04-26 11:00:00,248.0,70.0,11910.0
152,Deedee,F,Deedee.xw@daffodilmail.com,0832977405,Yuzu Tea,1995-01-14,2022-03-03,gold,2024-12-26 11:08:00,4.0,83.0,10880.0
153,Noon,F,Noon.pj@sunflowermail.com,0911500039,Yuzu Tea,2006-02-14,2022-03-03,gold,2024-11-07 07:41:00,53.0,93.0,15725.0
154,Flip,M,Flip.qq@sunflowermail.com,0970677326,Yuzu Tea,2004-05-01,2022-03-04,gold,2024-12-24 15:33:00,6.0,80.0,14475.0
155,Goose,M,Goose.ke@carnationmail.com,0688801216,Bubble Tea,1977-09-01,2022-03-04,gold,2024-07-03 15:07:00,180.0,83.0,13835.0
156,Anya,F,Anya.ow@irismail.com,0888896707,Yuzu Tea,1990-08-12,2022-03-04,gold,2024-12-15 15:36:00,15.0,76.0,12035.0
157,Lopez,M,Lopez.if@sunflowermail.com,0822290343,Bubble Tea,1995-05-17,2022-03-05,gold,2024-12-09 09:58:00,21.0,69.0,12615.0
158,Belle,F,Belle.xd@lilymail.com,0889564820,Bubble Tea,1995-02-06,2022-03-07,gold,2024-12-11 08:03:00,19.0,91.0,14005.0
159,Nee,F,Nee.mr@carnationmail.com,0958653190,Bubble Tea,1989-03-14,2022-03-07,gold,2024-08-27 19:03:00,125.0,87.0,14070.0
160,Curly,M,Curly.ux@lilymail.com,0625844429,Bubble Tea,1994-09-01,2022-03-09,gold,2024-11-21 13:21:00,39.0,74.0,10055.0
161,Moji,F,Moji.xp@lilymail.com,0996181115,Bubble Tea,1978-08-10,2022-03-10,gold,2024-12-06 12:00:00,24.0,85.0,12410.0
162,Kae,F,Kae.hp@dahlia.com,0846158939,Yuzu Tea,1996-08-12,2022-03-11,gold,2024-09-19 14:07:00,102.0,87.0,13300.0
163,Bertha,F,Bertha.rz@carnationmail.com,0842128691,Bubble Tea,2004-05-04,2022-03-11,gold,2024-11-22 19:44:00,38.0,96.0,14640.0
164,Poy,F,Poy.id@lilymail.com,0931426691,Bubble Tea,2007-05-24,2022-03-11,platinum,2024-12-06 13:16:00,24.0,100.0,15305.0
165,Game,M,Game.cl@sunflowermail.com,0838203828,Thai Tea,1987-12-11,2022-03-12,gold,2024-12-17 17:07:00,13.0,95.0,15585.0
166,Bluebear,F,Bluebear.hr@tulipmail.com,0858829537,Bubble Tea,1972-10-01,2022-03-12,gold,2024-12-17 09:01:00,13.0,72.0,13975.0
167,Wolfgang,M,Wolfgang.ol@sunflowermail.com,0913784319,Yuzu Tea,1991-12-22,2022-03-12,gold,2024-12-27 18:43:00,3.0,78.0,13290.0
168,Rudy,M,Rudy.xk@carnationmail.com,0834161770,Iced Latte,1989-04-19,2022-03-12,gold,2024-09-26 12:43:00,95.0,85.0,13310.0
169,Merengue,F,Merengue.gu@irismail.com,0932638492,Bubble Tea,1994-08-07,2022-03-13,gold,2024-10-12 13:18:00,79.0,75.0,11485.0
170,Peem,F,Peem.vd@rosemail.com,0823884488,Bubble Tea,1968-06-05,2022-03-13,gold,2023-12-26 07:26:00,370.0,54.0,7990.0
171,Becky,F,Becky.fq@lotusmail.com,0601571122,Green Tea,1974-02-07,2022-03-13,gold,2024-12-13 15:01:00,17.0,94.0,16500.0
172,Purrl,F,Purrl.ze@tulipmail.com,0921905070,Green Tea,1993-01-05,2022-03-13,gold,2024-12-07 12:17:00,23.0,81.0,13270.0
